Date,Location,MinTemp,MaxTemp,RainToday,RainTomorrow
2012-07-01,Albury,3.7,9.6,Yes,Yes
2012-07-02,Albury,6.4,12.3,Yes,No
2012-07-03,Albury,0.3,12.6,No,No
2012-07-04,Albury,-0.2,13.9,No,No
2012-07-05,Albury,-1.0,14.2,No,No
2012-07-06,Albury,-2.0,12.9,No,No
2012-07-07,Albury,-2.5,13.3,No,No
2012-07-08,Albury,-1.6,13.7,No,No
2012-07-09,Albury,0.2,15.1,No,Yes
2012-07-10,Albury,5.2,11.9,Yes,Yes
2012-07-11,Albury,9.0,14.0,Yes,No
2012-07-12,Albury,3.8,12.6,No,Yes
2012-07-13,Albury,7.1,15.8,Yes,Yes
2012-07-14,Albury,9.8,14.5,Yes,Yes
2012-07-15,Albury,6.4,11.3,Yes,Yes
2012-07-16,Albury,7.2,12.4,Yes,No
2012-07-17,Albury,8.7,15.4,No,No
2012-07-18,Albury,7.7,15.3,No,No
2012-07-19,Albury,-0.8,12.7,No,No
2012-07-20,Albury,2.3,15.3,No,No
2012-07-21,Albury,1.4,15.3,No,No
2012-07-22,Albury,0.0,15.7,No,No
2012-07-23,Albury,-0.1,16.1,No,No
2012-07-24,Albury,0.4,13.6,No,No
2012-07-25,Albury,2.9,14.6,No,Yes
2012-07-26,Albury,7.0,14.8,Yes,Yes
2012-07-27,Albury,6.7,11.5,Yes,Yes
2012-07-28,Albury,4.1,13.2,Yes,Yes
2012-07-29,Albury,1.1,13.7,Yes,No
2012-07-30,Albury,-0.6,13.1,No,No
2012-07-31,Albury,-1.3,13.9,No,No
2012-08-01,Albury,-0.5,13.7,No,No
2012-08-02,Albury,-1.8,12.1,No,No
2012-08-03,Albury,2.5,14.9,No,No
2012-08-04,Albury,1.5,14.9,No,Yes
2012-08-05,Albury,3.0,16.6,Yes,Yes
2012-08-06,Albury,4.1,11.9,Yes,No
2012-08-07,Albury,2.6,13.4,No,No
2012-08-08,Albury,-0.5,16.3,No,Yes
2012-08-09,Albury,5.7,11.8,Yes,No
2012-08-10,Albury,-0.5,15.4,No,No
2012-08-11,Albury,-0.7,16.6,No,No
2012-08-12,Albury,0.6,16.5,No,No
2012-08-13,Albury,-0.1,15.4,No,No
2012-08-14,Albury,1.9,16.0,No,Yes
2012-08-15,Albury,2.1,13.0,Yes,No
2012-08-16,Albury,6.2,14.7,No,Yes
2012-08-17,Albury,6.4,11.7,Yes,Yes
2012-08-18,Albury,3.0,14.9,Yes,No
2012-08-19,Albury,0.6,13.3,No,No
2012-08-20,Albury,2.1,12.4,No,No
2012-08-21,Albury,2.1,16.4,No,No
2012-08-22,Albury,6.2,19.4,No,No
2012-08-23,Albury,8.2,13.6,No,Yes
2012-08-24,Albury,5.3,11.4,Yes,Yes
2012-08-25,Albury,6.1,10.7,Yes,No
2012-08-26,Albury,7.0,14.2,No,No
2012-08-27,Albury,-0.2,14.3,No,No
2012-08-28,Albury,1.2,15.3,No,No
2012-08-29,Albury,2.9,17.6,No,No
2012-08-30,Albury,6.2,12.8,No,No
2012-08-31,Albury,3.4,13.4,No,No
2012-09-01,Albury,-1.3,15.0,No,No
2012-09-02,Albury,0.0,16.2,No,No
2012-09-03,Albury,0.6,18.7,No,No
2012-09-04,Albury,4.3,21.2,No,No
2012-09-05,Albury,2.7,22.1,No,No
2012-09-06,Albury,7.7,17.2,No,Yes
2012-09-07,Albury,6.8,13.8,Yes,Yes
2012-09-08,Albury,7.5,15.2,Yes,No
2012-09-09,Albury,6.8,17.3,No,No
2012-09-10,Albury,3.5,19.1,No,No
2012-09-11,Albury,2.7,18.8,No,No
2012-09-12,Albury,2.6,20.9,No,Yes
2012-09-13,Albury,9.1,15.5,Yes,No
2012-09-14,Albury,0.8,13.7,No,No
2012-09-15,Albury,2.4,17.5,No,No
2012-09-16,Albury,3.0,17.6,No,No
2012-09-17,Albury,4.7,17.9,No,No
2012-09-18,Albury,5.0,16.5,No,Yes
2012-09-19,Albury,8.4,19.2,Yes,No
2012-09-20,Albury,10.4,22.1,No,No
2012-09-21,Albury,11.9,19.4,No,No
2012-09-22,Albury,5.1,19.9,No,No
2012-09-23,Albury,4.2,20.7,No,No
2012-09-24,Albury,5.3,15.0,No,No
2012-09-25,Albury,0.8,17.7,No,No
2012-09-26,Albury,2.5,22.0,No,No
2012-09-27,Albury,7.6,25.7,No,No
2012-09-28,Albury,14.3,24.3,No,Yes
2012-09-29,Albury,8.1,14.0,Yes,No
2012-09-30,Albury,2.6,15.3,No,No
2012-10-01,Albury,1.8,19.1,No,No
2012-10-02,Albury,4.6,22.2,No,No
2012-10-03,Albury,5.2,24.8,No,No
2012-10-04,Albury,5.6,28.7,No,No
2012-10-06,Albury,11.7,13.1,,Yes
2012-10-07,Albury,2.7,17.1,Yes,No
2012-10-08,Albury,3.5,16.8,No,No
2012-10-09,Albury,3.5,18.3,No,No
2012-10-10,Albury,5.6,16.2,No,No
2012-10-11,Albury,7.4,11.6,No,Yes
2012-10-12,Albury,5.0,17.9,Yes,No
2012-10-13,Albury,4.0,18.6,No,No
2012-10-14,Albury,4.7,21.0,No,No
2012-10-15,Albury,6.4,25.7,No,No
2012-10-16,Albury,8.7,19.0,No,Yes
2012-10-17,Albury,5.2,19.0,Yes,No
2012-10-18,Albury,5.5,22.6,No,No
2012-10-19,Albury,8.5,27.2,No,No
2012-10-20,Albury,8.8,24.9,No,No
2012-10-21,Albury,7.9,20.7,No,No
2012-10-22,Albury,5.8,19.0,No,No
2012-10-23,Albury,4.4,20.7,No,No
2012-10-24,Albury,5.4,23.6,No,No
2012-10-25,Albury,12.7,23.8,No,No
2012-10-26,Albury,7.1,18.5,No,No
2012-10-27,Albury,6.3,20.4,No,No
2012-10-28,Albury,6.2,23.7,No,No
2012-10-29,Albury,9.0,27.0,No,No
2012-10-30,Albury,11.0,28.8,No,No
2012-10-31,Albury,10.8,31.2,No,No
2012-11-01,Albury,17.3,20.6,No,No
2012-11-02,Albury,6.4,22.4,No,No
2012-11-03,Albury,9.2,24.5,No,No
2012-11-04,Albury,9.2,28.5,No,No
2012-11-05,Albury,11.6,27.3,No,No
2012-11-06,Albury,17.8,29.7,No,Yes
2012-11-07,Albury,18.4,20.0,Yes,Yes
2012-11-08,Albury,16.1,26.1,Yes,Yes
2012-11-09,Albury,10.3,21.8,Yes,No
2012-11-10,Albury,6.5,22.9,No,No
2012-11-11,Albury,8.3,24.5,No,No
2012-11-12,Albury,9.3,31.6,No,No
2012-11-13,Albury,9.1,24.6,No,No
2012-11-14,Albury,9.9,24.6,No,No
2012-11-15,Albury,10.0,26.2,No,No
2012-11-16,Albury,13.1,24.1,No,No
2012-11-17,Albury,9.0,24.2,No,No
2012-11-18,Albury,7.2,21.4,No,No
2012-11-19,Albury,5.8,25.3,No,No
2012-11-20,Albury,8.3,26.9,No,No
2012-11-21,Albury,12.3,32.4,No,No
2012-11-22,Albury,10.9,27.4,No,No
2012-11-23,Albury,11.1,29.0,No,No
2012-11-24,Albury,12.4,32.7,No,No
2012-11-25,Albury,15.3,36.7,No,No
2012-11-26,Albury,16.6,31.9,No,No
2012-11-27,Albury,15.9,28.1,No,No
2012-11-28,Albury,16.8,32.5,No,No
2012-11-29,Albury,17.8,37.4,No,No
2012-11-30,Albury,23.0,34.4,No,No
2013-01-01,Albury,12.1,34.5,No,No
2013-01-02,Albury,13.8,33.6,No,No
2013-01-03,Albury,15.8,36.9,No,No
2013-01-04,Albury,18.6,40.7,No,No
2013-01-05,Albury,19.8,43.4,No,Yes
2013-01-06,Albury,20.9,42.0,Yes,No
2013-01-07,Albury,21.9,40.4,No,No
2013-01-08,Albury,21.9,39.2,No,No
2013-01-09,Albury,13.3,25.1,No,No
2013-01-10,Albury,11.2,32.2,No,No
2013-01-11,Albury,14.5,38.8,No,No
2013-01-12,Albury,17.0,28.8,No,No
2013-01-13,Albury,18.1,22.3,No,Yes
2013-01-14,Albury,8.9,27.1,Yes,No
2013-01-15,Albury,11.2,31.4,No,No
2013-01-16,Albury,13.6,36.1,No,No
2013-01-17,Albury,15.5,39.9,No,No
2013-01-18,Albury,18.9,43.1,No,No
2013-01-19,Albury,18.1,32.2,No,No
2013-01-20,Albury,16.4,34.6,No,No
2013-01-21,Albury,19.2,36.8,No,No
2013-01-22,Albury,16.6,36.5,No,No
2013-01-23,Albury,15.7,34.0,No,No
2013-01-24,Albury,15.9,37.0,No,No
2013-01-25,Albury,21.2,35.2,No,No
2013-01-26,Albury,21.6,36.5,No,No
2013-01-27,Albury,15.3,32.9,No,No
2013-01-28,Albury,18.4,34.7,No,No
2013-01-29,Albury,20.4,32.1,No,No
2013-01-30,Albury,9.9,29.9,No,No
2013-01-31,Albury,11.5,33.9,No,No
2013-03-01,Albury,16.9,26.6,No,No
2013-03-02,Albury,14.3,29.2,No,No
2013-03-03,Albury,12.0,31.8,No,No
2013-03-04,Albury,12.8,31.0,No,No
2013-03-05,Albury,13.5,30.9,No,No
2013-03-06,Albury,14.4,31.3,No,No
2013-03-07,Albury,16.6,33.8,No,No
2013-03-08,Albury,17.9,34.9,No,No
2013-03-09,Albury,18.6,33.0,No,No
2013-03-10,Albury,19.7,35.1,No,No
2013-03-11,Albury,20.1,35.7,No,No
2013-03-12,Albury,19.4,33.7,No,No
2013-03-13,Albury,17.7,33.9,No,No
2013-03-14,Albury,15.5,30.7,No,No
2013-03-15,Albury,13.8,31.7,No,No
2013-03-16,Albury,12.0,27.5,No,No
2013-03-17,Albury,11.1,23.0,No,No
2013-03-18,Albury,7.1,24.1,No,No
2013-03-19,Albury,9.1,26.3,No,No
2013-03-20,Albury,9.9,28.6,No,Yes
2013-03-21,Albury,14.9,20.2,Yes,Yes
2013-03-22,Albury,10.1,23.3,Yes,No
2013-03-23,Albury,9.0,24.2,No,No
2013-03-24,Albury,9.5,28.3,No,No
2013-03-25,Albury,10.3,27.7,No,No
2013-03-26,Albury,14.9,31.3,No,No
2013-03-27,Albury,13.8,35.1,No,Yes
2013-03-28,Albury,18.3,22.2,Yes,Yes
2013-03-29,Albury,6.6,20.4,Yes,No
2013-03-30,Albury,7.0,21.5,No,No
2013-03-31,Albury,10.9,23.0,No,No
2013-04-01,Albury,8.4,22.9,No,No
2013-04-02,Albury,8.5,23.8,No,No
2013-04-03,Albury,8.6,22.5,No,No
2013-04-04,Albury,8.9,24.3,No,No
2013-04-05,Albury,10.3,25.3,No,No
2013-04-06,Albury,11.2,25.7,No,No
2013-04-07,Albury,10.0,26.7,No,No
2013-04-08,Albury,11.5,26.0,No,No
2013-04-09,Albury,10.7,26.6,No,No
2013-04-10,Albury,10.3,27.1,No,No
2013-04-11,Albury,10.3,27.6,No,No
2013-04-12,Albury,11.4,28.2,No,No
2013-04-13,Albury,10.4,26.7,No,No
2013-04-14,Albury,14.4,24.8,No,No
2013-04-15,Albury,14.5,23.6,No,No
2013-04-16,Albury,8.3,23.8,No,No
2013-04-17,Albury,8.9,22.2,No,No
2013-04-18,Albury,8.6,23.9,No,No
2013-04-19,Albury,5.1,17.8,No,No
2013-04-20,Albury,2.6,20.3,No,No
2013-04-21,Albury,4.0,21.1,No,Yes
2013-04-22,Albury,10.6,14.6,Yes,Yes
2013-04-23,Albury,10.9,20.0,Yes,No
2013-04-24,Albury,6.0,16.9,No,No
2013-04-25,Albury,5.7,20.5,No,No
2013-04-26,Albury,6.0,21.4,No,No
2013-04-27,Albury,5.6,23.1,No,No
2013-04-28,Albury,7.9,26.5,No,No
2013-04-29,Albury,7.9,15.8,No,Yes
2013-04-30,Albury,8.6,20.4,Yes,No
2013-05-01,Albury,9.3,17.9,No,No
2013-05-02,Albury,2.5,18.6,No,No
2013-05-03,Albury,1.7,20.6,No,No
2013-05-04,Albury,6.6,19.7,No,No
2013-05-05,Albury,1.6,17.9,No,No
2013-05-06,Albury,2.5,18.6,No,No
2013-05-10,Albury,6.2,23.2,,No
2013-05-11,Albury,5.7,23.4,No,No
2013-05-12,Albury,5.0,24.2,No,Yes
2013-05-13,Albury,11.3,15.7,Yes,Yes
2013-05-14,Albury,1.9,11.6,Yes,Yes
2013-05-15,Albury,6.1,13.7,Yes,Yes
2013-05-16,Albury,9.1,14.0,Yes,Yes
2013-05-17,Albury,3.5,14.9,Yes,No
2013-05-18,Albury,1.4,13.1,No,No
2013-05-19,Albury,0.6,15.0,No,Yes
2013-05-20,Albury,2.9,14.6,Yes,No
2013-05-21,Albury,5.3,14.9,No,No
2013-05-22,Albury,2.8,13.5,No,No
2013-05-23,Albury,5.4,17.2,No,No
2013-05-24,Albury,1.4,17.4,No,No
2013-05-25,Albury,-0.2,16.3,No,No
2013-05-26,Albury,1.3,12.8,No,No
2013-05-27,Albury,1.1,16.6,No,No
2013-05-28,Albury,2.7,18.0,No,No
2013-05-29,Albury,4.2,19.3,No,No
2013-05-30,Albury,7.8,15.2,No,Yes
2013-05-31,Albury,11.2,17.6,Yes,Yes
2013-06-01,Albury,10.3,15.4,Yes,Yes
2013-06-02,Albury,11.4,17.3,Yes,No
2013-06-03,Albury,0.6,14.3,No,No
2013-06-04,Albury,1.9,14.5,No,No
2013-06-05,Albury,3.5,13.6,No,No
2013-06-06,Albury,5.8,15.0,No,Yes
2013-06-07,Albury,8.5,16.9,Yes,No
2013-06-08,Albury,1.7,14.6,No,No
2013-06-09,Albury,0.6,13.8,No,No
2013-06-10,Albury,3.1,13.8,No,No
2013-06-11,Albury,3.4,15.6,No,Yes
2013-06-12,Albury,4.9,11.8,Yes,Yes
2013-06-13,Albury,10.0,13.4,Yes,Yes
2013-06-14,Albury,4.3,12.2,Yes,No
2013-06-15,Albury,1.2,15.4,No,No
2013-06-16,Albury,-0.2,14.3,No,No
2013-06-17,Albury,0.3,10.4,No,No
2013-06-18,Albury,3.1,15.5,No,No
2013-06-19,Albury,0.8,14.5,No,No
2013-06-20,Albury,0.0,14.1,No,No
2013-06-21,Albury,-0.5,13.2,No,No
2013-06-22,Albury,-1.3,13.9,No,No
2013-06-23,Albury,-0.4,14.1,No,No
2013-06-24,Albury,2.0,13.1,No,No
2013-06-25,Albury,7.8,17.0,No,No
2013-06-26,Albury,0.9,16.8,No,No
2013-06-27,Albury,-0.1,14.1,No,No
2013-06-28,Albury,2.0,16.0,No,No
2013-06-29,Albury,4.3,18.4,No,No
2013-06-30,Albury,1.4,15.7,No,No
2012-07-01,BadgerysCreek,2.8,15.6,No,No
2012-07-02,BadgerysCreek,-0.2,15.3,No,No
2012-07-03,BadgerysCreek,1.0,15.5,No,No
2012-07-04,BadgerysCreek,4.6,15.8,No,No
2012-07-05,BadgerysCreek,5.5,15.3,No,Yes
2012-07-06,BadgerysCreek,8.1,16.1,Yes,No
2012-07-07,BadgerysCreek,4.3,16.8,No,No
2012-07-08,BadgerysCreek,5.9,18.2,No,No
2012-07-09,BadgerysCreek,2.1,17.7,No,No
2012-07-10,BadgerysCreek,3.3,13.8,No,Yes
2012-07-11,BadgerysCreek,6.7,19.6,Yes,No
2012-07-12,BadgerysCreek,6.3,13.6,No,Yes
2012-07-13,BadgerysCreek,7.3,21.9,Yes,No
2012-07-14,BadgerysCreek,4.5,18.9,No,No
2012-07-15,BadgerysCreek,2.4,17.3,No,No
2012-07-16,BadgerysCreek,2.8,20.0,No,No
2012-07-17,BadgerysCreek,1.4,19.9,No,No
2012-07-18,BadgerysCreek,2.0,18.5,No,No
2012-07-19,BadgerysCreek,3.8,15.7,No,No
2012-07-20,BadgerysCreek,1.9,16.8,No,No
2012-07-21,BadgerysCreek,5.7,16.5,No,No
2012-07-22,BadgerysCreek,6.4,17.6,No,Yes
2012-07-23,BadgerysCreek,8.5,15.6,Yes,Yes
2012-07-24,BadgerysCreek,8.9,15.3,Yes,No
2012-07-25,BadgerysCreek,4.5,17.8,No,No
2012-07-26,BadgerysCreek,5.3,18.4,No,No
2012-07-27,BadgerysCreek,2.3,17.1,No,No
2012-07-28,BadgerysCreek,2.6,16.8,No,No
2012-07-29,BadgerysCreek,2.6,16.8,No,No
2012-07-30,BadgerysCreek,4.4,15.7,No,No
2012-07-31,BadgerysCreek,2.4,15.2,No,No
2012-08-01,BadgerysCreek,3.2,15.8,No,No
2012-08-02,BadgerysCreek,2.9,16.9,No,No
2012-08-03,BadgerysCreek,1.8,18.0,No,No
2012-08-04,BadgerysCreek,-0.9,19.9,No,No
2012-08-05,BadgerysCreek,-0.6,21.9,No,No
2012-08-06,BadgerysCreek,6.3,17.9,No,No
2012-08-07,BadgerysCreek,-0.7,18.0,No,No
2012-08-08,BadgerysCreek,-1.1,21.0,No,No
2012-08-09,BadgerysCreek,4.7,18.9,No,No
2012-08-10,BadgerysCreek,5.4,17.7,No,No
2012-08-11,BadgerysCreek,7.2,17.6,No,No
2012-08-12,BadgerysCreek,9.5,16.0,No,No
2012-08-13,BadgerysCreek,5.7,18.5,No,No
2012-08-14,BadgerysCreek,0.5,19.5,No,No
2012-08-15,BadgerysCreek,0.9,23.8,No,No
2012-08-16,BadgerysCreek,4.9,19.7,No,No
2012-08-17,BadgerysCreek,1.1,21.0,No,No
2012-08-18,BadgerysCreek,6.2,17.8,No,No
2012-08-19,BadgerysCreek,5.7,19.9,No,No
2012-08-20,BadgerysCreek,0.8,18.6,No,No
2012-08-21,BadgerysCreek,4.1,21.1,No,No
2012-08-22,BadgerysCreek,4.0,24.9,No,No
2012-08-23,BadgerysCreek,7.8,28.8,No,Yes
2012-08-24,BadgerysCreek,9.6,18.9,Yes,No
2012-08-25,BadgerysCreek,4.1,19.7,No,No
2012-08-26,BadgerysCreek,2.8,19.6,No,No
2012-08-29,BadgerysCreek,2.0,21.5,,No
2012-08-30,BadgerysCreek,5.2,21.4,No,No
2012-08-31,BadgerysCreek,6.5,18.5,No,No
2012-09-01,BadgerysCreek,-0.2,17.6,No,No
2012-09-02,BadgerysCreek,4.1,21.0,No,No
2012-09-03,BadgerysCreek,0.9,23.7,No,No
2012-09-04,BadgerysCreek,2.2,25.3,No,No
2012-09-05,BadgerysCreek,1.8,28.3,No,No
2012-09-06,BadgerysCreek,13.1,26.4,No,No
2012-09-07,BadgerysCreek,7.6,21.3,No,No
2012-09-08,BadgerysCreek,5.7,20.3,No,No
2012-09-09,BadgerysCreek,6.5,22.4,No,No
2012-09-10,BadgerysCreek,2.3,25.9,No,No
2012-09-11,BadgerysCreek,6.1,22.2,No,No
2012-09-12,BadgerysCreek,5.8,24.9,No,No
2012-09-13,BadgerysCreek,5.0,22.7,No,Yes
